Sample	posterior	likelihood	prior	N0	NInfinity	b	tree.height	tree.treeLength	D.treeLikelihood
101000	-1693.5345613685954	-1650.970644733766	-42.56391663482936	367.64594534381513	27362.71671360151	0.3960269215789787	2.687180254722831	31.95251283396228	-1650.970644733766
102000	-1703.060429736654	-1658.2623042905293	-44.798125446124594	196.68613780847582	19892.912777426714	0.3640705559221022	2.3735855807097153	28.54526991400956	-1658.2623042905293
103000	-1695.3140247030537	-1652.9194196337905	-42.394605069263264	377.0187359167254	25796.323860867346	0.40792839524508384	2.551001109006308	30.003092090294036	-1652.9194196337905
104000	-1697.5024365031404	-1653.222716032161	-44.279720470979235	377.99098470787953	16962.635319751393	0.4074002977274143	2.7609663389422723	30.883022888688394	-1653.222716032161
105000	-1694.2251580396717	-1651.170534368157	-43.0546236715148	309.6314435593624	12511.165049115505	0.4170415711058792	2.7450874639148077	31.296592306512906	-1651.170534368157
106000	-1702.5096107941988	-1652.938043945714	-49.57156684848468	353.9218015457256	14487.329977187552	0.44757678148359215	2.648418464292443	29.155831426150392	-1652.938043945714
107000	-1696.7903670716469	-1653.2847112980655	-43.50565577358128	435.8281914834355	29966.322400072368	0.41752440651883105	2.464568232249036	29.320687991799883	-1653.2847112980655
108000	-1705.3169078751166	-1655.2817162456383	-50.035191629478255	404.1707194996881	29753.56242342513	0.3552038025877414	2.7728271956212884	32.17109459789559	-1655.2817162456383
109000	-1699.3417188057672	-1654.5460309339717	-44.795687871795494	308.71027294916877	15520.958103645957	0.4097143709359066	2.629497043788445	30.69503130823878	-1654.5460309339717
110000	-1694.427581114353	-1650.7970153143124	-43.63056580004065	333.18337801488974	25143.962648892608	0.41893093255495517	2.5626382390035194	29.406215858321755	-1650.7970153143124
111000	-1698.9514408220646	-1653.5202964872778	-45.431144334786794	431.03552854827115	18043.27892033187	0.4102115310856925	2.6181474593097804	31.071494298164485	-1653.5202964872778
112000	-1696.326496565926	-1655.0616332405098	-41.26486332541612	230.61064266047563	24811.016252520123	0.43129388463294954	2.1891174006765377	26.17258071379025	-1655.0616332405098
113000	-1694.7848764009293	-1651.460371326307	-43.32450507462218	314.9043629476679	10922.75862437634	0.40420585556567895	2.9519536891529707	33.592745067990144	-1651.460371326307
114000	-1694.858865147457	-1653.8276675349325	-41.03119761252437	295.7314778642887	21915.68570464636	0.40886233734056326	2.6075826947323506	31.214525693715206	-1653.8276675349325
115000	-1698.6871646333977	-1654.9563091876005	-43.73085544579729	203.80316962439582	34014.535148672396	0.38459776927613204	2.26388158066442	26.76691709994338	-1654.9563091876005
116000	-1698.3578627007141	-1653.707015399353	-44.650847301361146	427.61794370320064	21188.812845020733	0.41648431554247806	2.7044916770189227	31.010092273197067	-1653.707015399353
117000	-1698.7346218727916	-1653.5588039325453	-45.175817940246255	268.2701738673471	20339.5708477978	0.4047420876140379	2.639162270237278	29.059444888465006	-1653.5588039325453
118000	-1704.7057747753356	-1654.0795261411722	-50.62624863416332	745.5121570342678	48624.63809449661	0.41620471760890276	2.60286332545611	29.80745997022356	-1654.0795261411722
119000	-1694.9217089930112	-1652.5951282690924	-42.32658072391889	264.2551925043285	25285.19745864906	0.38836080790244115	2.5623007703148586	29.92395040393638	-1652.5951282690924
120000	-1698.0066412270155	-1653.259741300939	-44.74689992607653	445.78074854632825	27290.748989110707	0.41038063702547506	2.746755931864211	30.353432021224354	-1653.259741300939
121000	-1694.9611312528448	-1652.0526975437067	-42.908433709138066	453.5499822574795	27943.1586647513	0.41972922361093606	2.685416736461812	32.05868389120754	-1652.0526975437067
122000	-1704.2462238665207	-1655.1501075987585	-49.0961162677622	384.0247019129073	52959.08777430555	0.3652093025210393	2.638856357938574	31.72550183209967	-1655.1501075987585
123000	-1696.6104536974974	-1650.9688620103382	-45.64159168715931	458.38724202661376	26237.290226484307	0.3983417020118038	2.8557473298422638	31.514950596719178	-1650.9688620103382
124000	-1693.5429500173425	-1649.2571462059568	-44.28580381138559	257.0811743507593	38335.806323928875	0.3762266564709191	2.439612770782743	27.866207671185354	-1649.2571462059568
125000	-1701.4371442576794	-1657.1002164015124	-44.336927856166916	280.65288591311725	12689.65742409451	0.4029760762399863	2.716965471550317	30.09563385531443	-1657.1002164015124
126000	-1699.3225078783958	-1654.9560850308937	-44.366422847501944	379.0759129188351	41385.94643217224	0.4039602796887283	2.5140995734874325	28.081568945537473	-1654.9560850308937
127000	-1704.196891875554	-1652.6771088052324	-51.519783070321594	503.88008065441255	98264.79897666462	0.367781962515835	2.538602292399334	29.038263400468878	-1652.6771088052324
128000	-1707.0516379021687	-1663.871083570199	-43.18055433196962	308.42463838658983	25844.4810301966	0.4135972106733012	2.552251909268604	31.41993436216064	-1663.871083570199
129000	-1704.9966177504696	-1660.9786725200795	-44.017945230390154	490.1556131625126	14114.472255318004	0.4002836107553251	2.824654630232687	36.371942557346486	-1660.9786725200795
130000	-1700.6144100106453	-1656.4003868061131	-44.21402320453206	386.6191568461314	19813.431631795018	0.38572562510071834	2.8754577975740188	34.40299138332939	-1656.4003868061131
131000	-1694.9662360887814	-1651.8287924524248	-43.137443636356586	294.12933276858274	39616.71860446764	0.42321905949068034	2.334584393891565	25.882002434111712	-1651.8287924524248
132000	-1692.6965941008743	-1649.2005030622997	-43.49609103857453	323.3595777566657	20150.183691606726	0.3954972264606695	2.7756574545230985	30.451897498980216	-1649.2005030622997
133000	-1700.3988627486501	-1652.9804308478215	-47.41843190082854	301.1839109658579	44000.73593251314	0.3710839232856192	2.42873205619285	26.8746455407579	-1652.9804308478215
134000	-1700.282629889497	-1652.8617166019785	-47.42091328751847	399.64275104821184	18317.39249542381	0.4369536598414972	2.7285845900842625	28.688384123030335	-1652.8617166019785
