Sample	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	D.treeLikelihood
149000	-19856.104687954183	-19713.990743753766	-142.113944200416	8244.253638486314	0.42412817247993767	0.9505914859493318	12.589031271046611	444.29815672727864	-19713.990743753766
150000	-19845.324761916698	-19702.10868360485	-143.21607831184826	4312.818433942637	0.42412817247993767	0.9505914859493318	12.407817185159473	437.01366961975094	-19702.10868360485
151000	-19840.022140002013	-19696.982540615754	-143.03959938625925	6309.497464215118	0.42412817247993767	0.9505914859493318	12.621915411325983	441.35066030855677	-19696.982540615754
152000	-19853.708143251893	-19712.976414822602	-140.73172842929227	3359.2270750855023	0.42412817247993767	0.9505914859493318	12.275615565350217	430.44505797768716	-19712.976414822602
153000	-19853.88248831995	-19703.649666161342	-150.23282215860837	3761.2204790649494	0.42412817247993767	0.9505914859493318	12.570030308065943	441.69711174246885	-19703.649666161342
154000	-19840.15345213218	-19696.487806572295	-143.66564555988697	4687.827073241237	0.42412817247993767	0.9505914859493318	12.51237220379962	436.2819129796057	-19696.487806572295
155000	-19838.598229814466	-19694.000564018854	-144.59766579561216	4991.184812151479	0.42412817247993767	0.9505914859493318	12.551424014206937	437.1239801786615	-19694.000564018854
156000	-19845.460266299615	-19703.864287807075	-141.59597849254052	5203.884405827705	0.42412817247993767	0.9505914859493318	12.599319459913385	436.28706535224404	-19703.864287807075
157000	-19848.37129260552	-19704.952078187962	-143.4192144175591	4173.2673615873	0.42412817247993767	0.9505914859493318	12.45740241476748	430.48561843954053	-19704.952078187962
158000	-19837.772711506495	-19697.80988386401	-139.96282764248414	3425.080621358835	0.42412817247993767	0.9505914859493318	12.391698906375797	432.6035025951722	-19697.80988386401
159000	-19840.91153153904	-19697.688771596546	-143.22275994249497	5978.163362661566	0.42412817247993767	0.9505914859493318	12.67494819466225	438.7909182750319	-19697.688771596546
160000	-19848.205625276856	-19705.721760061595	-142.48386521526248	4374.657880365241	0.42412817247993767	0.9505914859493318	12.599105013309849	436.75948435594677	-19705.721760061595
161000	-19841.05969143356	-19693.92104696538	-147.13864446817735	6833.46863910222	0.42412817247993767	0.9505914859493318	12.73064616289439	434.04378214348066	-19693.92104696538
162000	-19852.571381573955	-19707.87987221657	-144.69150935738435	3819.6604312615195	0.42412817247993767	0.9505914859493318	12.714710332055075	430.295652354911	-19707.87987221657
163000	-19842.066672095127	-19696.396599005056	-145.6700730900714	4644.988283039634	0.42412817247993767	0.9505914859493318	12.660294745232815	431.4383078835478	-19696.396599005056
164000	-19852.83401760309	-19702.418292966493	-150.4157246365964	4989.45189446604	0.42412817247993767	0.9505914859493318	12.76984381978386	433.1448658984114	-19702.418292966493
165000	-19854.638884633696	-19706.006718752804	-148.6321658808937	6578.161947233231	0.42412817247993767	0.9505914859493318	12.471376459243885	432.1066404431833	-19706.006718752804
166000	-19848.27198820754	-19702.33784306244	-145.93414514509897	8089.300779019987	0.42412817247993767	0.9505914859493318	12.63674721195299	439.8920944968508	-19702.33784306244
167000	-19840.327394024975	-19695.195574219648	-145.13181980532795	4810.596345892257	0.42412817247993767	0.9505914859493318	12.599074351507564	434.5353372400312	-19695.195574219648
168000	-19844.447579574917	-19699.537610444153	-144.90996913076503	4843.515221565724	0.42412817247993767	0.9505914859493318	12.721206431329604	439.71012365746265	-19699.537610444153
169000	-19840.89611574811	-19695.996495409923	-144.89962033818784	4540.572543060791	0.42412817247993767	0.9505914859493318	12.510956117636843	431.3758548564389	-19695.996495409923
